,inner_label,inner_area,inner_centroid-0,inner_centroid-1,inner_axis_major_length,inner_axis_minor_length,inner_eccentricity,inner_orientation,inner_slice,outer_label,outer_area,outer_centroid-0,outer_centroid-1,outer_axis_major_length,outer_axis_minor_length,outer_eccentricity,outer_orientation,outer_slice,file,gratio,orientation_mean_deg,eccentricity_mean
0,1,0.46476463999999995,56.82877148313176,73.11903246339911,0.9599568901014258,0.6232660532320963,0.7605625830356842,0.07245055771068822,"(slice(30, 86, None), slice(56, 93, None))",1,0.38784623999999995,55.36003051106026,73.67505720823799,1.5568700767248824,1.079504225841274,0.7205710957747542,0.23154090079826734,"(slice(21, 94, None), slice(49, 100, None))",Sample_Data_SWM.ome.tif,0.5773632361155193,8.708713790294714,0.7405668394052192
1,2,0.22543007999999998,67.19816272965879,453.3307086614173,0.5654892856005621,0.5095468840351871,0.43366833307308267,1.0704681461169343,"(slice(52, 84, None), slice(437, 471, None))",2,0.16389536,69.9259927797834,453.46389891696754,0.9655849242581198,0.7981609360584901,0.5627770372018946,0.8589218495007467,"(slice(49, 89, None), slice(433, 475, None))",Sample_Data_SWM.ome.tif,0.6384011807837298,55.27295189182876,0.4982226851374887
2,3,0.45086015999999995,77.0754593175853,121.50590551181102,0.9084684529127619,0.6598995882651318,0.6872860128818344,-0.5845556922333014,"(slice(52, 103, None), slice(100, 146, None))",3,0.40204655999999994,76.27740986019131,120.92420897718911,1.4211253001520265,1.1902160528687185,0.5464118567967304,-0.6202367967225302,"(slice(44, 109, None), slice(92, 154, None))",Sample_Data_SWM.ome.tif,0.5544368072289134,-34.5147624031155,0.6168489348392825
3,4,0.33548255999999993,93.12962962962963,543.8827160493827,0.7935429157567466,0.5389675423678675,0.7339611778390802,0.6974420011306686,"(slice(73, 114, None), slice(525, 564, None))",4,1.0812951999999998,92.9217510259918,545.1004103967168,1.6827163430801668,1.3262635292354403,0.6154598863023503,0.704674533533813,"(slice(53, 135, None), slice(506, 585, None))",Sample_Data_SWM.ome.tif,0.4063804292941461,40.16767991089159,0.6747105320707152
4,6,0.10088143999999999,101.35777126099707,1027.6979472140763,0.3655945136533852,0.3518267313719371,0.2718438057875392,-1.1309431314456775,"(slice(91, 113, None), slice(1017, 1039, None))",6,0.17247471999999997,101.18867924528301,1028.2847341337908,0.7015143322465641,0.6797554930889242,0.24712721498844922,1.5468310547546023,"(slice(85, 119, None), slice(1011, 1046, None))",Sample_Data_SWM.ome.tif,0.5175783571430614,11.914311378030922,0.2594855103879942
5,7,0.27365199999999995,106.84216216216217,412.8540540540541,0.6758075924186087,0.5227707933998864,0.6337355805247847,0.27768322805615153,"(slice(86, 127, None), slice(396, 431, None))",7,0.6827987199999999,103.69757365684575,411.79506065857885,2.086225935579719,1.1444259447339227,0.8361093542777105,0.10390073609890584,"(slice(50, 155, None), slice(372, 445, None))",Sample_Data_SWM.ome.tif,0.4567973976869511,10.931575337978037,0.7349224674012476
6,8,0.22779679999999997,114.84675324675325,79.97012987012987,0.65914504859181,0.443341962739035,0.7400048600753122,1.0787447944944604,"(slice(101, 131, None), slice(61, 98, None))",8,0.25945167999999996,116.77537058152794,79.11060433295324,1.2346279391087283,0.7429240762651519,0.7986926120250245,1.0937674193739992,"(slice(96, 138, None), slice(52, 107, None))",Sample_Data_SWM.ome.tif,0.5967527192924151,62.23789039764281,0.7693487360501683
7,9,0.46476463999999995,134.48313176320815,917.115849777212,1.3323788887678703,0.4476419160065562,0.9418719963902312,1.245301840133166,"(slice(117, 154, None), slice(881, 954, None))",9,0.44168911999999994,133.96718017414602,915.6235766912257,2.0854954168242448,0.8494378560050516,0.9132910966356326,1.2314150479692305,"(slice(110, 162, None), slice(869, 966, None))",Sample_Data_SWM.ome.tif,0.526986068306207,70.95271236852115,0.9275815465129319
8,10,0.22276751999999997,131.35059760956176,500.9641434262948,0.6932768076191609,0.4129825118696702,0.8032096712908487,-0.6090474806486934,"(slice(113, 150, None), slice(485, 517, None))",10,0.18845007999999996,131.8806907378336,500.0816326530612,1.0996879774018244,0.7395531675224326,0.7400863777756694,-0.5671853901005164,"(slice(107, 156, None), slice(480, 521, None))",Sample_Data_SWM.ome.tif,0.5584216659543187,-33.69658960924329,0.7716480245332591
9,11,2.2824055999999997,144.2441996111471,195.25599481529488,2.1120131491338854,1.3925440894421601,0.751841029038997,1.0326844257861365,"(slice(98, 196, None), slice(134, 249, None))",11,1.5155883199999998,153.22701542065195,194.2059340230334,3.1903885827426537,2.5057682097771465,0.6189738398815636,0.6992599144189686,"(slice(87, 226, None), slice(118, 261, None))",Sample_Data_SWM.ome.tif,0.5557353964379681,49.61655052266127,0.6854074344602803
10,12,0.11656095999999998,153.35279187817258,1034.982233502538,0.42089841653786136,0.353113968893703,0.5442039552776748,1.1270030160826385,"(slice(143, 165, None), slice(1023, 1048, None))",12,0.28400639999999994,155.1375,1036.0552083333334,0.9148376208767799,0.7304724483686804,0.6020316229092976,1.2604591438914594,"(slice(136, 174, None), slice(1013, 1059, None))",Sample_Data_SWM.ome.tif,0.4834049110028597,68.3957527568516,0.5731177890934862
11,13,0.10354399999999998,169.8,915.7514285714286,0.3751300818117586,0.35189157867947907,0.34649411156653986,0.3770102391704773,"(slice(159, 182, None), slice(905, 927, None))",13,0.08756863999999999,168.58783783783784,915.706081081081,0.6505290818571218,0.5802923782832502,0.4519733976651253,0.3276381328062069,"(slice(155, 185, None), slice(903, 930, None))",Sample_Data_SWM.ome.tif,0.6064039298956896,20.18668887751426,0.39923375461583255
12,14,0.18489999999999998,182.7872,888.4,0.584649155724846,0.40312563717359273,0.7242693272649878,0.10463437436888681,"(slice(166, 201, None), slice(877, 901, None))",14,0.14377823999999997,186.0761316872428,889.7304526748972,0.975751107183011,0.6658511943484928,0.7309802623344812,-0.03974871523065299,"(slice(162, 208, None), slice(874, 905, None))",Sample_Data_SWM.ome.tif,0.6054290216720781,1.8588372097726302,0.7276247947997345
13,15,0.28666896,206.19504643962847,589.7832817337461,0.726084813932255,0.5041026433602896,0.7197096745252882,-0.0036678091009023335,"(slice(185, 228, None), slice(576, 606, None))",15,0.12040687999999998,205.8009828009828,588.041769041769,1.0716087667440248,0.8133512916052871,0.6510903649716406,0.2326194765870048,"(slice(183, 230, None), slice(572, 607, None))",Sample_Data_SWM.ome.tif,0.6197846472529199,6.5589821297181325,0.6854000197484644
14,16,0.37364591999999996,210.9730799683294,727.8202692003167,0.7733710231582953,0.6192409703985907,0.5990607050541934,1.4467655369004482,"(slice(193, 231, None), slice(704, 750, None))",16,0.27276448,210.92082429501085,727.7841648590022,1.2927780965407554,1.0067862556045628,0.6273004804799536,1.4693354712388715,"(slice(188, 236, None), slice(698, 758, None))",Sample_Data_SWM.ome.tif,0.6150669687348325,83.54014020011377,0.6131805927670735
15,17,0.4206844799999999,222.9549929676512,984.2946554149086,1.155242066644261,0.4650469452373446,0.9153963811952128,1.359418728810415,"(slice(209, 239, None), slice(952, 1018, None))",17,1.4513910399999999,224.43355075417855,977.4973501834488,2.4763992136067245,1.3270291816215574,0.8443002143084978,1.4044373022539567,"(slice(191, 272, None), slice(917, 1043, None))",Sample_Data_SWM.ome.tif,0.3504421392369703,79.17864288088352,0.8798482977518554
16,18,0.38370447999999996,244.7686969930609,468.4533538936006,0.9191297943598039,0.537661820040748,0.8110561348881382,1.0384413681180749,"(slice(226, 267, None), slice(444, 492, None))",18,0.2825272,242.71413612565445,469.4429319371728,1.4438102261881924,0.9218840688934544,0.7696153643324146,0.960216161048248,"(slice(219, 273, None), slice(438, 499, None))",Sample_Data_SWM.ome.tif,0.5832206436608762,57.25732055663777,0.7903357496102764
17,19,0.10295231999999999,250.04022988505747,132.867816091954,0.38391189019214783,0.34180730147166155,0.455320764010836,0.32897337946295985,"(slice(239, 262, None), slice(123, 144, None))",19,0.27483536,248.71582346609256,131.09580193756727,0.861151402571118,0.7345214530430791,0.5219881359618443,-0.014393122861653566,"(slice(227, 271, None), slice(113, 151, None))",Sample_Data_SWM.ome.tif,0.46534692765687646,9.012060510698653,0.48865444998634017
18,20,0.8922534399999998,249.71352785145888,320.39854111405833,1.4526309089033367,1.0549997424091748,0.6874113722801852,-1.3907480549315103,"(slice(221, 288, None), slice(277, 357, None))",20,0.33518671999999994,256.85348631950575,307.06796116504853,2.042713770196187,1.5455830194067572,0.6538407373771875,-0.050273190684285665,"(slice(216, 299, None), slice(273, 354, None))",Sample_Data_SWM.ome.tif,0.6825901482885833,-41.28221778123495,0.6706260548286864
